model,level,metric,value
ResConvLSTM,overall_global,MAE_global,0.562080
ResConvLSTM,overall_global,RMSE_global,1.687437
ResConvLSTM,overall_global,categorical.10mmh.ACC,0.989747
ResConvLSTM,overall_global,categorical.10mmh.BIAS,1.950992
ResConvLSTM,overall_global,categorical.10mmh.CSI,0.321716
ResConvLSTM,overall_global,categorical.10mmh.FAR,0.631831
ResConvLSTM,overall_global,categorical.10mmh.HSS,0.482180
ResConvLSTM,overall_global,categorical.10mmh.POD,0.718295
ResConvLSTM,overall_global,categorical.10mmh.a_hits,100868
ResConvLSTM,overall_global,categorical.10mmh.b_false_alarms,173104
ResConvLSTM,overall_global,categorical.10mmh.c_misses,39559
ResConvLSTM,overall_global,categorical.10mmh.d_correct_negatives,20428613
ResConvLSTM,overall_global,categorical.10mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.20mmh.ACC,0.997924
ResConvLSTM,overall_global,categorical.20mmh.BIAS,0.980847
ResConvLSTM,overall_global,categorical.20mmh.CSI,0.319960
ResConvLSTM,overall_global,categorical.20mmh.FAR,0.510464
ResConvLSTM,overall_global,categorical.20mmh.HSS,0.483762
ResConvLSTM,overall_global,categorical.20mmh.POD,0.480159
ResConvLSTM,overall_global,categorical.20mmh.a_hits,20256
ResConvLSTM,overall_global,categorical.20mmh.b_false_alarms,21122
ResConvLSTM,overall_global,categorical.20mmh.c_misses,21930
ResConvLSTM,overall_global,categorical.20mmh.d_correct_negatives,20678836
ResConvLSTM,overall_global,categorical.20mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.30mmh.ACC,0.999041
ResConvLSTM,overall_global,categorical.30mmh.BIAS,0.771439
ResConvLSTM,overall_global,categorical.30mmh.CSI,0.257455
ResConvLSTM,overall_global,categorical.30mmh.FAR,0.529853
ResConvLSTM,overall_global,categorical.30mmh.HSS,0.409014
ResConvLSTM,overall_global,categorical.30mmh.POD,0.362690
ResConvLSTM,overall_global,categorical.30mmh.a_hits,6898
ResConvLSTM,overall_global,categorical.30mmh.b_false_alarms,7774
ResConvLSTM,overall_global,categorical.30mmh.c_misses,12121
ResConvLSTM,overall_global,categorical.30mmh.d_correct_negatives,20715351
ResConvLSTM,overall_global,categorical.30mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.5mmh.ACC,0.970058
ResConvLSTM,overall_global,categorical.5mmh.BIAS,2.115151
ResConvLSTM,overall_global,categorical.5mmh.CSI,0.365002
ResConvLSTM,overall_global,categorical.5mmh.FAR,0.606178
ResConvLSTM,overall_global,categorical.5mmh.HSS,0.521372
ResConvLSTM,overall_global,categorical.5mmh.POD,0.832993
ResConvLSTM,overall_global,categorical.5mmh.a_hits,356995
ResConvLSTM,overall_global,categorical.5mmh.b_false_alarms,549493
ResConvLSTM,overall_global,categorical.5mmh.c_misses,71574
ResConvLSTM,overall_global,categorical.5mmh.d_correct_negatives,19764082
ResConvLSTM,overall_global,categorical.5mmh.n_total,20742144
ResConvLSTM,overall_global,peak_error_global,16.584038
ResConvLSTM,overall_window_mean,MAE_window_mean,0.562080
ResConvLSTM,overall_window_mean,RMSE_window_mean,1.134885
ResConvLSTM,overall_window_mean,SSIM_window_mean,0.863438
ResConvLSTM,overall_window_mean,n_defined_windows,1266
ResConvLSTM,overall_window_mean,peak_error_window_mean,5.153300
ResConvLSTM,overall_event_macro,ACC_10mmh_event_macro,0.994559
ResConvLSTM,overall_event_macro,ACC_20mmh_event_macro,0.998940
ResConvLSTM,overall_event_macro,ACC_30mmh_event_macro,0.999537
ResConvLSTM,overall_event_macro,ACC_5mmh_event_macro,0.984652
ResConvLSTM,overall_event_macro,BIAS_10mmh_event_macro,1.694547
ResConvLSTM,overall_event_macro,BIAS_20mmh_event_macro,1.010657
ResConvLSTM,overall_event_macro,BIAS_30mmh_event_macro,0.588765
ResConvLSTM,overall_event_macro,BIAS_5mmh_event_macro,1.369758
ResConvLSTM,overall_event_macro,CSI_10mmh_event_macro,0.267894
ResConvLSTM,overall_event_macro,CSI_20mmh_event_macro,0.300284
ResConvLSTM,overall_event_macro,CSI_30mmh_event_macro,0.153427
ResConvLSTM,overall_event_macro,CSI_5mmh_event_macro,0.359149
ResConvLSTM,overall_event_macro,FAR_10mmh_event_macro,0.702024
ResConvLSTM,overall_event_macro,FAR_20mmh_event_macro,0.541600
ResConvLSTM,overall_event_macro,FAR_30mmh_event_macro,0.705580
ResConvLSTM,overall_event_macro,FAR_5mmh_event_macro,0.575109
ResConvLSTM,overall_event_macro,HSS_10mmh_event_macro,0.386355
ResConvLSTM,overall_event_macro,HSS_20mmh_event_macro,0.459568
ResConvLSTM,overall_event_macro,HSS_30mmh_event_macro,0.248224
ResConvLSTM,overall_event_macro,HSS_5mmh_event_macro,0.478701
ResConvLSTM,overall_event_macro,MAE_event,0.353233
ResConvLSTM,overall_event_macro,POD_10mmh_event_macro,0.568287
ResConvLSTM,overall_event_macro,POD_20mmh_event_macro,0.463695
ResConvLSTM,overall_event_macro,POD_30mmh_event_macro,0.215745
ResConvLSTM,overall_event_macro,POD_5mmh_event_macro,0.635957
ResConvLSTM,overall_event_macro,RMSE_event,0.830827
ResConvLSTM,overall_event_macro,SSIM_event_mean,0.901282
ResConvLSTM,overall_event_macro,n_events,7
ResConvLSTM,per_event,2203.MAE_event,1.385453
ResConvLSTM,per_event,2203.RMSE_event,2.830050
ResConvLSTM,per_event,2203.SSIM_event_mean,0.696375
ResConvLSTM,per_event,2203.categorical.10mmh.ACC,0.972128
ResConvLSTM,per_event,2203.categorical.10mmh.BIAS,1.942034
ResConvLSTM,per_event,2203.categorical.10mmh.CSI,0.325897
ResConvLSTM,per_event,2203.categorical.10mmh.FAR,0.627642
ResConvLSTM,per_event,2203.categorical.10mmh.HSS,0.478764
ResConvLSTM,per_event,2203.categorical.10mmh.POD,0.723133
ResConvLSTM,per_event,2203.categorical.10mmh.a_hits,87426
ResConvLSTM,per_event,2203.categorical.10mmh.b_false_alarms,147364
ResConvLSTM,per_event,2203.categorical.10mmh.c_misses,33473
ResConvLSTM,per_event,2203.categorical.10mmh.d_correct_negatives,6219801
