axis,contrast,baseline,candidate,metric,threshold_mmh,n_pairs,mean_diff,median_diff,iqr,ci95_lo,ci95_hi,p_signflip_raw,p_signflip_n,inferential
AxisI,I3 - I2,I2,I3,MAE_event,,7,-0.011423571820993465,-0.01627427087241558,0.012320834848576854,-0.021159859543513643,0.0004706992956837404,0.125,7,yes
AxisI,I3 - I2,I2,I3,RMSE_event,,7,-0.013603305864653237,-0.017606183046290247,0.04961163087608399,-0.034212542997942616,0.009084824590614564,0.453125,7,yes
AxisI,I3 - I2,I2,I3,SSIM_event_mean,,7,-0.0008808515562057481,-0.0015378449280887274,0.0004651730928348363,-0.001812321599143714,0.0006106933923172456,0.125,7,yes
AxisI,I3 - I2,I2,I3,CSI,5,4,0.01958323988029645,0.019179449179936355,0.021875732202878494,0.00793982320336395,0.03122665655722895,0.125,4,yes
AxisI,I3 - I2,I2,I3,POD,5,4,0.014090564551679702,0.01366381797716859,0.035851634202168386,-0.0041748876276572755,0.03235601673101668,1.0,4,yes
AxisI,I3 - I2,I2,I3,FAR,5,4,0.09705058827446558,0.021035168359687856,0.08756024930866227,0.01444139679021482,0.2540210276338191,0.125,4,yes
AxisI,I3 - I2,I2,I3,HSS,5,4,0.02417574993453958,0.016516161875537894,0.024418198371329025,0.00759997117493888,0.04502679249171315,0.125,4,yes
AxisI,I3 - I2,I2,I3,ACC,5,7,0.00026982834855977203,1.6407300067466934e-06,0.00039164225260418517,2.639231410810667e-05,0.0005852206927607113,1.0,7,yes
AxisI,I3 - I2,I2,I3,BIAS,5,4,-0.03347831275597754,-0.033273388703718265,0.03748594502535471,-0.07738875327101738,0.010227203706803023,0.625,4,yes
AxisI,I3 - I2,I2,I3,CSI,10,4,0.018210028227478636,0.007255112915105749,0.016546578481322516,0.002141129347342563,0.0452338424199876,0.625,4,yes
AxisI,I3 - I2,I2,I3,POD,10,4,0.017137878709615473,0.0028605482717520836,0.022814827447872665,-0.002816400466505109,0.051347414420975956,1.0,4,yes
AxisI,I3 - I2,I2,I3,FAR,10,3,0.018401130546769718,0.018040198064047747,0.0014947718739979354,0.01708682491413277,0.02007636866212864,0.25,3,no
AxisI,I3 - I2,I2,I3,HSS,10,4,0.016513643117889318,0.007950975357387119,0.015379088490500306,0.002461232681230871,0.039128721315049964,0.625,4,yes
AxisI,I3 - I2,I2,I3,ACC,10,7,0.00010244505418367998,0.0,0.00012027397357594616,1.5056953228342884e-05,0.00023860717765049927,1.0,7,yes
AxisI,I3 - I2,I2,I3,BIAS,10,4,0.0053910579788434,-0.0053933253873659215,0.03459804308222972,-0.027630501492981713,0.049197000816877834,1.0,4,yes
AxisI,I3 - I2,I2,I3,CSI,20,3,0.030777707414284473,0.0030270834096573496,0.06898334421976558,-0.024330324803167547,0.1136363636363636,1.0,3,no
AxisI,I3 - I2,I2,I3,POD,20,3,0.03377987254080737,-0.0046090149207093645,0.08309479819927659,-0.030120481927710857,0.13606911447084233,1.0,3,no
AxisI,I3 - I2,I2,I3,FAR,20,3,0.017535823316230287,0.02156132172481201,0.03537321269984034,-0.019850138587900912,0.05089628681177977,1.0,3,no
AxisI,I3 - I2,I2,I3,HSS,20,3,0.0410191269851801,0.0036887112054961313,0.09245863902222826,-0.03277430414720617,0.15214297389725034,1.0,3,no
AxisI,I3 - I2,I2,I3,ACC,20,7,2.1717011506692885e-05,0.0,1.6348702566948425e-05,-6.378012359460021e-06,6.537593730672673e-05,1.0,7,yes
AxisI,I3 - I2,I2,I3,BIAS,20,3,0.03511725641442187,-0.033148451943858515,0.10569589372609228,-0.03644578313253022,0.17494600431965435,1.0,3,no
AxisI,I3 - I2,I2,I3,CSI,30,3,-0.019280886760546057,-0.01134532851921527,0.023248665881211453,-0.046497331762422905,0.0,1.0,3,no
AxisI,I3 - I2,I2,I3,POD,30,3,-0.026055640279281655,-0.01761819803746653,0.030274361400189215,-0.06054872280037843,0.0,1.0,3,no
AxisI,I3 - I2,I2,I3,FAR,30,2,0.010450332669920459,0.010450332669920459,0.00515303742892681,0.005297295240993649,0.015603370098847269,0.5,2,no
AxisI,I3 - I2,I2,I3,HSS,30,3,-0.02876768194062367,-0.0163971291585997,0.034952958331635656,-0.06990591666327131,0.0,1.0,3,no
AxisI,I3 - I2,I2,I3,ACC,30,7,2.506434086010526e-06,0.0,0.0,-1.3321165054845454e-06,8.851418763516123e-06,1.0,7,yes
AxisI,I3 - I2,I2,I3,BIAS,30,3,-0.05113267932430691,-0.04270740410347895,0.05534531693472089,-0.11069063386944178,0.0,1.0,3,no
AxisI,I4 - I3,I3,I4,MAE_event,,7,0.0022017353329257406,0.005686853109363576,0.019741499500797254,-0.010292387689565415,0.01356482962736788,0.453125,7,yes
AxisI,I4 - I3,I3,I4,RMSE_event,,7,0.0013376874093762303,0.005756747224162417,0.02292484983695236,-0.013757648721188976,0.015135352595542662,1.0,7,yes
AxisI,I4 - I3,I3,I4,SSIM_event_mean,,7,0.0004695938547241628,0.0012289402481874268,0.0028592054833043723,-0.0011392009402658968,0.0018758418790425977,0.453125,7,yes
AxisI,I4 - I3,I3,I4,CSI,5,4,-0.006684247529318331,-0.0038200636307205438,0.007181973991848013,-0.013514714229818842,-0.0016521080320984795,0.125,4,yes
AxisI,I4 - I3,I3,I4,POD,5,4,-0.007301836993094307,-0.0058524841927584115,0.01944495893425005,-0.022562741312741302,0.006509714526216792,1.0,4,yes
AxisI,I4 - I3,I3,I4,FAR,5,4,-0.03399785534319216,-0.005962078866987908,0.05025515638439246,-0.09905630211217638,0.006520430622917656,1.0,4,yes
AxisI,I4 - I3,I3,I4,HSS,5,4,-0.005815652143600391,-0.004325019234889937,0.004567384772935902,-0.010323973807381598,-0.002483496150655639,0.125,4,yes
AxisI,I4 - I3,I3,I4,ACC,5,7,-0.00013335311319771583,-6.56292002632064e-07,5.835073965565485e-05,-0.0003665285477891641,-7.319478863311778e-06,1.0,7,yes
AxisI,I4 - I3,I3,I4,BIAS,5,4,0.00369844023985591,-0.0010892842564529381,0.05677302168569018,-0.03323051207665256,0.04164166159359134,1.0,4,yes
AxisI,I4 - I3,I3,I4,CSI,10,4,-0.005725559340867756,-0.0038022209917628336,0.01017730648403127,-0.012447635762060039,0.0006495261514006812,1.0,4,yes
AxisI,I4 - I3,I3,I4,POD,10,4,-0.004763064182145588,-0.006436233611442188,0.022311879369944915,-0.02130371449380919,0.013450755558814614,1.0,4,yes
AxisI,I4 - I3,I3,I4,FAR,10,3,-0.004474629735589976,0.000983745489684218,0.01690956944916215,-0.024113386797389225,0.009705752100935078,1.0,3,no
AxisI,I4 - I3,I3,I4,HSS,10,4,-0.00538987246780509,-0.004339833213953703,0.010227007489231721,-0.011277046743083108,0.0004973018074729274,1.0,4,yes
AxisI,I4 - I3,I3,I4,ACC,10,7,-7.141004237474848e-05,0.0,1.8972568411046442e-05,-0.00020338865946079032,-2.099092675265725e-06,1.0,7,yes
AxisI,I4 - I3,I3,I4,BIAS,10,4,0.000359253668456766,-0.011323003575685331,0.045583556522667906,-0.03390129927852581,0.04626820813531635,1.0,4,yes
AxisI,I4 - I3,I3,I4,CSI,20,3,-0.06563598627297357,-0.00828487699488023,0.09733169557657703,-0.19164323648859727,0.0030201546645567956,1.0,3,no
AxisI,I4 - I3,I3,I4,POD,20,3,-0.07714817081534688,-0.015963855421686768,0.11904152893922695,-0.2267818574514039,0.011301200427050018,1.0,3,no
AxisI,I4 - I3,I3,I4,FAR,20,3,-0.005707257080479626,-0.014145869808587175,0.03180926849628632,-0.03329721921271217,0.03032131777986047,1.0,3,no
AxisI,I4 - I3,I3,I4,HSS,20,3,-0.09429276317665164,-0.011440783265615428,0.13922242724706568,-0.27494118037923543,0.0035036741148959383,1.0,3,no
AxisI,I4 - I3,I3,I4,ACC,20,7,-1.5694439914924552e-05,0.0,2.252487909226719e-05,-4.038813678878103e-05,4.117451016868604e-06,1.0,7,yes
AxisI,I4 - I3,I3,I4,BIAS,20,3,-0.1103189374685043,-0.0472891566265059,0.17782059975628473,-0.3196544276457882,0.03598677186678123,1.0,3,no
AxisI,I4 - I3,I3,I4,CSI,30,3,-0.005201544839142415,-0.0031600433991062493,0.006222295559160498,-0.012444591118320997,0.0,1.0,3,no
AxisI,I4 - I3,I3,I4,POD,30,3,-0.007151588562831481,-0.005676442762535483,0.00788916146297948,-0.01577832292595896,0.0,1.0,3,no
AxisI,I4 - I3,I3,I4,FAR,30,2,0.012185406133292831,0.012185406133292831,0.0183806485151079,-0.006195242381815069,0.03056605464840073,1.0,2,no
AxisI,I4 - I3,I3,I4,HSS,30,3,-0.007784479106977299,-0.004955389589511555,0.00919902386571017,-0.01839804773142034,0.0,1.0,3,no
AxisI,I4 - I3,I3,I4,ACC,30,7,-2.2018454635595674e-06,0.0,0.0,-8.058754396657517e-06,1.4532180059788149e-06,1.0,7,yes
AxisI,I4 - I3,I3,I4,BIAS,30,3,-0.015820151456202563,-0.022705771050141932,0.012377341659232877,-0.024754683318465753,0.0,1.0,3,no
AxisI,I5 - I4,I4,I5,MAE_event,,7,-0.0024343527232416973,-0.00138181072967598,0.014473884177613852,-0.010814477897910468,0.007204740693606447,1.0,7,yes
AxisI,I5 - I4,I4,I5,RMSE_event,,7,-0.0029061222347218757,-0.004184203372029405,0.013478341048182366,-0.017062468291409782,0.013678889149280313,0.453125,7,yes
AxisI,I5 - I4,I4,I5,SSIM_event_mean,,7,-0.0003140126705715967,-0.0007433830613264858,0.0011712527060706024,-0.0012220701932479444,0.0009342296989899301,0.125,7,yes
AxisI,I5 - I4,I4,I5,CSI,5,4,0.00405146953650801,0.004565449184176479,0.005355090835571143,0.0008370257114541993,0.007265913361561821,0.625,4,yes
AxisI,I5 - I4,I4,I5,POD,5,4,0.006372530853365033,0.00801084715746364,0.0202669240793229,-0.0058835460684942276,0.018628607775224293,1.0,4,yes
AxisI,I5 - I4,I4,I5,FAR,5,4,-0.009866382137163947,-0.011144731097618418,0.016597165516619085,-0.027082096868020072,0.00862768155414665,0.625,4,yes
AxisI,I5 - I4,I4,I5,HSS,5,4,0.0032647647457236476,0.004139803575991696,0.0042910805671412585,0.00036521051909744855,0.005966010897177021,0.625,4,yes
AxisI,I5 - I4,I4,I5,ACC,5,7,0.00012532725119299544,0.0,5.61364052298341e-06,-2.630376677438738e-06,0.00037683671901107233,1.0,7,yes
AxisI,I5 - I4,I4,I5,BIAS,5,4,0.021390512779128262,0.03186806487540983,0.0154995745006489,-0.005552462831461297,0.037855936293436254,0.625,4,yes
AxisI,I5 - I4,I4,I5,CSI,10,4,-0.0021537518881149104,-0.0022459208629047323,0.005902359543177679,-0.005810190568387857,0.0015026867921580367,1.0,4,yes
AxisI,I5 - I4,I4,I5,POD,10,4,-0.005406944564204222,0.0005462490895848382,0.008555461813695694,-0.019851111387680198,0.0030840286054826943,1.0,4,yes
AxisI,I5 - I4,I4,I5,FAR,10,3,0.002367190207939592,0.0016290122404857277,0.020276155818585828,-0.017539876626919304,0.023012435010252352,1.0,3,no
AxisI,I5 - I4,I4,I5,HSS,10,4,-0.00168709971345464,-0.0020657500322298628,0.005477254903303266,-0.005098604584528044,0.0017244051576187636,1.0,4,yes
AxisI,I5 - I4,I4,I5,ACC,10,7,5.392004990918091e-05,0.0,7.62939453125e-06,-1.1833346619884364e-05,0.00017141366933849853,1.0,7,yes
AxisI,I5 - I4,I4,I5,BIAS,10,4,-0.012819360727105045,0.002502979737783073,0.027111554725613662,-0.054890413703511914,0.013929351784413707,1.0,4,yes
AxisI,I5 - I4,I4,I5,CSI,20,3,0.03839831637447907,0.01932407658634777,0.04756318575860644,0.0003722505099382767,0.09549862202715116,0.25,3,no
AxisI,I5 - I4,I4,I5,POD,20,3,0.045414661760719253,0.03132530120481927,0.055532018652475465,-0.0030726766138062245,0.10799136069114469,1.0,3,no
AxisI,I5 - I4,I4,I5,FAR,20,3,0.0018483121735254164,0.007991268056351752,0.028573593118315116,-0.029796758886202868,0.027350427350427364,1.0,3,no
AxisI,I5 - I4,I4,I5,HSS,20,3,0.058354959832409244,0.02646764441916538,0.07382406276372995,0.000474554775301228,0.14812268030276113,0.25,3,no
AxisI,I5 - I4,I4,I5,ACC,20,7,8.992965971899025e-06,0.0,1.0899135044650787e-05,-2.9064360118941882e-06,2.511047476516648e-05,1.0,7,yes
AxisI,I5 - I4,I4,I5,BIAS,20,3,0.06995511002697137,0.0734939759036144,0.08300222787895273,-0.014816550790302863,0.1511879049676026,1.0,3,no
